videoNumber,id,guestName,title,description,publishedAt,duration,viewCount,likeCount,dislikeCount,commentCount,tags
1541,DYpotjw_KTw,Bridget Phetasy,Joe Rogan Experience #1541 - Bridget Phetasy,"Writer, stand-up comedian, and cultural commentator Bridget Phetasy’s writings can be found in The Spectator, Quillette, and The New York Times. In addition, she’s the host of the YouTube program Dumpster Fire, and the podcast Walk-Ins Welcome. @phetasy",2020-09-24 17:00:02+00:00,0 days 03:17:17.000000000,1751781,24725,4373,11787,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Bridget Phetasy, The Dumpster Fire, JRE #1541, comedian"
1540,Kv3dsPkTvhY,Frank von Hippel,Joe Rogan Experience #1540 - Frank von Hippel,"Frank A. Von Hippel is an expert in ecotoxicology: the study of how pollutants impact human health and the environment at large. A professor at Northern Arizona University, Von Hippel is the author of The Chemical Age: How Chemists Fought Famine and Disease, Killed Millions, and Changed Our Relationship with the Earth, and the host of The Science History Podcast.",2020-09-23 17:00:04+00:00,0 days 02:36:49.000000000,1603499,24776,1988,10823,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party"
1539,EED-LEWOCv0,Jenny Kleeman,Joe Rogan Experience #1539 - Jenny Kleeman,"Award-winning documentarian and journalist Jenny Kleeman has reported for HBO’s Vice News Tonight, and BBC’s Unreported World. She is the author of Sex Robots & Vegan Meat: Adventures at the Frontier of Birth, Food, Sex & Death, available now from Pan MacMillan.",2020-09-22 17:00:07+00:00,0 days 02:13:22.000000000,1172518,14347,6260,12541,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Jenny Kleeman, JRE #1539, comedian"
1538,t7uqHosIj4s,Douglas Murray,Joe Rogan Experience #1538 - Douglas Murray,"Writer, journalist, and political commentator Douglas Murray is the author of The Madness of Crowds: Gender, Race and Identity, now available in a newly expanded paperback edition from Bloomsbury Publishing. Also look for The Strange Death of Europe available everywhere.",2020-09-17 17:00:11+00:00,0 days 02:15:45.000000000,2649127,60853,5187,23815,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Douglas Murray, JRE #1539, comedian"
1537,9iOGfAAticY,Lex Fridman,Joe Rogan Experience #1537 - Lex Fridman,"Scientist Lex Fridman researches human-centered artificial intelligence and autonomous vehicles at MIT, and studies Brazilian Jiu-Jitsu in his spare time. Check out his podcast “Lex Fridman Podcast”, available now on Apple Podcast and YouTube. @Lex Fridman",2020-09-16 17:00:02+00:00,0 days 03:01:23.000000000,2997507,44768,3540,16158,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Lex Fridman, JRE #1537, comedian, AI, technology, MIT"
1536,_Rl82OQDoOc,Edward Snowden,Joe Rogan Experience #1536 - Edward Snowden,"Former CIA contractor turned whistleblower Edward Snowden shocked the world when he revealed the misdeeds of the US intelligence community and its allies. Now living in Russia, he is a noted privacy advocate and author who serves as president of the Freedom of the Press Foundation. His book, Permanent Record, is now available in paperback from Henry Holt and Company.",2020-09-15 15:30:35+00:00,0 days 02:28:40.000000000,6278390,154302,5435,36688,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, JRE #1536, Edward Snowden, Permanent Record, Snowden"
1535,TDKYSLDq6es,Tim Kennedy,Joe Rogan Experience #1535 - Tim Kennedy,"Special Forces operator and retired UFC fighter Tim Kennedy is the founder of Sheepdog Response, a training program aimed at giving law enforcement, military, and others the tools they need to quickly and effectively respond to violent threats.",2020-09-11 17:00:11+00:00,0 days 03:00:34.000000000,4329612,70239,7928,30924,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Tim Kennedy, JRE #1535, comedian, special forces, Sheepdog Response"
1534,1mgN8r1mwvM,Ron White,Joe Rogan Experience #1534 - Ron White,"Ron White is a stand up comedian and actor, best known as a charter member of the Blue Collar Comedy Tour. His special “If You Quit Listening, I’ll Shut Up” is now streaming on Netflix.",2020-09-09 18:09:50+00:00,0 days 02:53:43.000000000,3795528,49218,6145,25728,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Joe Rogan, Ron White, JRE #1534, comedian"
1533,fTPQ9KR5j8k,Adam Curry,Joe Rogan Experience #1533 - Adam Curry,"Adam Curry is a podcaster, announcer, internet entrepreneur and media personality, known for his stint as VJ on MTV and being one of the first celebrities personally to create and administer Web sites. Check out his podcast “No Agenda” with new shows available every Sunday and Thursday on Spotify. http://www.noagendashow.com/",2020-09-08 20:28:45+00:00,0 days 03:18:23.000000000,3988158,59323,23167,53741,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Adam Curry, No Agenda, Joe Rogan, JRE #1533, comedian"
1532,hcPUoxTvw5g,Mike Tyson,Joe Rogan Experience #1532 - Mike Tyson,Mike Tyson is the former undisputed heavyweight boxing champion of the world. Check out his new podcast called “Hotboxin’ with Mike Tyson” on Spotify.  www.TysonOnTriller.com @Mike Tyson,2020-09-04 17:00:08+00:00,0 days 02:04:12.000000000,6231428,130879,3580,29666,"Joe Rogan Experience, JRE, Joe, Rogan, podcast, MMA, comedy, stand, up, funny, Freak, Party, Mike Tyson, Joe Rogan, JRE #1532"
